Value,Format,Metric,Year
,Other Tapes,Units,1979
,Music Video (Physical),Units,1979
,DVD Audio,Units,1979
,SACD,Units,1979
,Download Single,Units,1979
,Download Album,Units,1979
,Kiosk,Units,1979
,Download Music Video,Units,1979
,Ringtones & Ringbacks,Units,1979
,,Units,1979
,Paid Subscriptions,Units,1979
,CD,Value,1979
,CD Single,Value,1979
580.6,Cassette,Value,1979
,Cassette Single,Value,1979
2057,LP/EP,Value,1979
353.6,Vinyl Single,Value,1979
684.3,8 - Track,Value,1979
,Other Tapes,Value,1979
,Music Video (Physical),Value,1979
,DVD Audio,Value,1979
,SACD,Value,1979
,Download Single,Value,1979
,Download Album,Value,1979
,Kiosk,Value,1979
,Download Music Video,Value,1979
,Ringtones & Ringbacks,Value,1979
,Other Digital,Value,1979
,Paid Subscription,Value,1979
,Limited Tier Paid Subscription,Value,1979
,SoundExchange Distributions,Value,1979
,On-Demand Streaming (Ad-Supported),Value,1979
,Other Ad-Supported Streaming,Value,1979
,Synchronization,Value,1979
,CD,Value (Adjusted),1979
,CD Single,Value (Adjusted),1979
1960.284738,Cassette,Value (Adjusted),1979
,Cassette Single,Value (Adjusted),1979
6945.066667,LP/EP,Value (Adjusted),1979
1193.8627,Vinyl Single,Value (Adjusted),1979
2310.407934,8 - Track,Value (Adjusted),1979
,Other Tapes,Value (Adjusted),1979
,Music Video (Physical),Value (Adjusted),1979
,DVD Audio,Value (Adjusted),1979
,SACD,Value (Adjusted),1979
,Download Single,Value (Adjusted),1979
,Download Album,Value (Adjusted),1979
,Kiosk,Value (Adjusted),1979
,Download Music Video,Value (Adjusted),1979
,Ringtones & Ringbacks,Value (Adjusted),1979
,Other Digital,Value (Adjusted),1979
,Paid Subscription,Value (Adjusted),1979
,Limited Tier Paid Subscription,Value (Adjusted),1979
,SoundExchange Distributions,Value (Adjusted),1979
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1979
,Other Ad-Supported Streaming,Value (Adjusted),1979
,Synchronization,Value (Adjusted),1979
,CD,Units,1980
,CD Single,Units,1980
99,Cassette,Units,1980
,Cassette Single,Units,1980
308,LP/EP,Units,1980
157,Vinyl Single,Units,1980
85,8 - Track,Units,1980
,Other Tapes,Units,1980
,Music Video (Physical),Units,1980
,DVD Audio,Units,1980
,SACD,Units,1980
,Download Single,Units,1980
,Download Album,Units,1980
,Kiosk,Units,1980
,Download Music Video,Units,1980
,Ringtones & Ringbacks,Units,1980
,,Units,1980
,Paid Subscriptions,Units,1980
,CD,Value,1980
,CD Single,Value,1980
705,Cassette,Value,1980
,Cassette Single,Value,1980
2200,LP/EP,Value,1980
250,Vinyl Single,Value,1980
527,8 - Track,Value,1980
,Other Tapes,Value,1980
,Music Video (Physical),Value,1980
,DVD Audio,Value,1980
,SACD,Value,1980
,Download Single,Value,1980
,Download Album,Value,1980
,Kiosk,Value,1980
,Download Music Video,Value,1980
,Ringtones & Ringbacks,Value,1980
,Other Digital,Value,1980
,Paid Subscription,Value,1980
,Limited Tier Paid Subscription,Value,1980
,SoundExchange Distributions,Value,1980
,On-Demand Streaming (Ad-Supported),Value,1980
,Other Ad-Supported Streaming,Value,1980
,Synchronization,Value,1980
,CD,Value (Adjusted),1980
,CD Single,Value (Adjusted),1980
2097.203883,Cassette,Value (Adjusted),1980
,Cassette Single,Value (Adjusted),1980
6544.466019,LP/EP,Value (Adjusted),1980
743.6893204,Vinyl Single,Value (Adjusted),1980
1567.697087,8 - Track,Value (Adjusted),1980
,Other Tapes,Value (Adjusted),1980
,Music Video (Physical),Value (Adjusted),1980
,DVD Audio,Value (Adjusted),1980
,SACD,Value (Adjusted),1980
,Download Single,Value (Adjusted),1980
,Download Album,Value (Adjusted),1980
,Kiosk,Value (Adjusted),1980
,Download Music Video,Value (Adjusted),1980
,Ringtones & Ringbacks,Value (Adjusted),1980
,Other Digital,Value (Adjusted),1980
,Paid Subscription,Value (Adjusted),1980
,Limited Tier Paid Subscription,Value (Adjusted),1980
,SoundExchange Distributions,Value (Adjusted),1980
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1980
,Other Ad-Supported Streaming,Value (Adjusted),1980
,Synchronization,Value (Adjusted),1980
,CD,Units,1981
,CD Single,Units,1981
124,Cassette,Units,1981
,Cassette Single,Units,1981
295.2,LP/EP,Units,1981
154.7,Vinyl Single,Units,1981
50,8 - Track,Units,1981
,Other Tapes,Units,1981
,Music Video (Physical),Units,1981
,DVD Audio,Units,1981
,SACD,Units,1981
,Download Single,Units,1981
,Download Album,Units,1981
,Kiosk,Units,1981
,Download Music Video,Units,1981
,Ringtones & Ringbacks,Units,1981
,,Units,1981
,Paid Subscriptions,Units,1981
,CD,Value,1981
,CD Single,Value,1981
1062.8,Cassette,Value,1981
,Cassette Single,Value,1981
2341.7,LP/EP,Value,1981
256.4,Vinyl Single,Value,1981
313,8 - Track,Value,1981
,Other Tapes,Value,1981
,Music Video (Physical),Value,1981
,DVD Audio,Value,1981
,SACD,Value,1981
,Download Single,Value,1981
,Download Album,Value,1981
,Kiosk,Value,1981
,Download Music Video,Value,1981
,Ringtones & Ringbacks,Value,1981
,Other Digital,Value,1981
,Paid Subscription,Value,1981
,Limited Tier Paid Subscription,Value,1981
,SoundExchange Distributions,Value,1981
,On-Demand Streaming (Ad-Supported),Value,1981
,Other Ad-Supported Streaming,Value,1981
,Synchronization,Value,1981
,CD,Value (Adjusted),1981
,CD Single,Value (Adjusted),1981
2865.93549,Cassette,Value (Adjusted),1981
,Cassette Single,Value (Adjusted),1981
6314.604004,LP/EP,Value (Adjusted),1981
691.4055886,Vinyl Single,Value (Adjusted),1981
844.0325633,8 - Track,Value (Adjusted),1981
,Other Tapes,Value (Adjusted),1981
,Music Video (Physical),Value (Adjusted),1981
,DVD Audio,Value (Adjusted),1981
,SACD,Value (Adjusted),1981
,Download Single,Value (Adjusted),1981
,Download Album,Value (Adjusted),1981
,Kiosk,Value (Adjusted),1981
,Download Music Video,Value (Adjusted),1981
,Ringtones & Ringbacks,Value (Adjusted),1981
,Other Digital,Value (Adjusted),1981
,Paid Subscription,Value (Adjusted),1981
,Limited Tier Paid Subscription,Value (Adjusted),1981
,SoundExchange Distributions,Value (Adjusted),1981
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1981
,Other Ad-Supported Streaming,Value (Adjusted),1981
,Synchronization,Value (Adjusted),1981
,CD,Units,1982
,CD Single,Units,1982
183.2,Cassette,Units,1982
,Cassette Single,Units,1982
243.9,LP/EP,Units,1982
137.2,Vinyl Single,Units,1982
13.7,8 - Track,Units,1982
,Other Tapes,Units,1982
,Music Video (Physical),Units,1982
,DVD Audio,Units,1982
,SACD,Units,1982
,Download Single,Units,1982
,Download Album,Units,1982
,Kiosk,Units,1982
,Download Music Video,Units,1982
,Ringtones & Ringbacks,Units,1982
,,Units,1982
,Paid Subscriptions,Units,1982
,CD,Value,1982
,CD Single,Value,1982
1384.5,Cassette,Value,1982
,Cassette Single,Value,1982
1925.1,LP/EP,Value,1982
283,Vinyl Single,Value,1982
36,8 - Track,Value,1982
,Other Tapes,Value,1982
,Music Video (Physical),Value,1982
,DVD Audio,Value,1982
,SACD,Value,1982
,Download Single,Value,1982
,Download Album,Value,1982
,Kiosk,Value,1982
,Download Music Video,Value,1982
,Ringtones & Ringbacks,Value,1982
,Other Digital,Value,1982
,Paid Subscription,Value,1982
,Limited Tier Paid Subscription,Value,1982
,SoundExchange Distributions,Value,1982
,On-Demand Streaming (Ad-Supported),Value,1982
,Other Ad-Supported Streaming,Value,1982
,Synchronization,Value,1982
,CD,Value (Adjusted),1982
,CD Single,Value (Adjusted),1982
3516.773472,Cassette,Value (Adjusted),1982
,Cassette Single,Value (Adjusted),1982
4889.953492,LP/EP,Value (Adjusted),1982
718.8493264,Vinyl Single,Value (Adjusted),1982
91.44373057,8 - Track,Value (Adjusted),1982
,Other Tapes,Value (Adjusted),1982
,Music Video (Physical),Value (Adjusted),1982
,DVD Audio,Value (Adjusted),1982
,SACD,Value (Adjusted),1982
,Download Single,Value (Adjusted),1982
,Download Album,Value (Adjusted),1982
,Kiosk,Value (Adjusted),1982
,Download Music Video,Value (Adjusted),1982
,Ringtones & Ringbacks,Value (Adjusted),1982
,Other Digital,Value (Adjusted),1982
,Paid Subscription,Value (Adjusted),1982
,Limited Tier Paid Subscription,Value (Adjusted),1982
,SoundExchange Distributions,Value (Adjusted),1982
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1982
,Other Ad-Supported Streaming,Value (Adjusted),1982
,Synchronization,Value (Adjusted),1982
0.8,CD,Units,1983
,CD Single,Units,1983
236.8,Cassette,Units,1983
,Cassette Single,Units,1983
209.6,LP/EP,Units,1983
124.8,Vinyl Single,Units,1983
,8 - Track,Units,1983
